Created as New Dataset,
nm,A
2500.0,0.5021
2490.0,0.5947
2480.0,0.7549
2470.0,0.8352
2460.0,1.0794
2450.0,1.1972
2440.0,1.2183
2430.0,1.4227
2420.0,1.2906
2410.0,1.3749
2400.0,1.3950
2390.0,1.5130
2380.0,1.5214
2370.0,1.4883
2360.0,1.6487
2350.0,1.5898
2340.0,1.6261
2330.0,1.6087
2320.0,1.7321
2310.0,1.7678
2300.0,1.7584
2290.0,1.7862
2280.0,1.8440
2270.0,1.8374
2260.0,1.8548
2250.0,1.8692
2240.0,1.7876
2230.0,1.7637
2220.0,1.8229
2210.0,1.8036
2200.0,1.8063
2190.0,1.7726
2180.0,1.7800
2170.0,1.8102
2160.0,1.8112
2150.0,1.8030
2140.0,1.8101
2130.0,1.7981
2120.0,1.7593
2110.0,1.7473
2100.0,1.7544
2090.0,1.7386
2080.0,1.7603
2070.0,1.7990
2060.0,1.8667
2050.0,1.9124
2040.0,1.9174
2030.0,1.9160
2020.0,1.8901
2010.0,1.8067
2000.0,1.7669
1990.0,1.7642
1980.0,1.7885
1970.0,1.7839
1960.0,1.7689
1950.0,1.7701
1940.0,1.7682
1930.0,1.7729
1920.0,1.7741
1910.0,1.7937
1900.0,1.7517
1890.0,1.7192
1880.0,1.6931
1870.0,1.6576
1860.0,1.6733
1850.0,1.6758
1840.0,1.6921
1830.0,1.7187
1820.0,1.7326
1810.0,1.7463
1800.0,1.7594
1790.0,1.7760
1780.0,1.8002
1770.0,1.8286
1760.0,1.8748
1750.0,1.9079
1740.0,1.9191
1730.0,1.9057
1720.0,1.8955
1710.0,1.9132
1700.0,1.9471
1690.0,1.9196
1680.0,1.8624
1670.0,1.8073
1660.0,1.7468
1650.0,1.7226
1640.0,1.7015
1630.0,1.6489
1620.0,1.6198
1610.0,1.6071
1600.0,1.6092
1590.0,1.6123
1580.0,1.6171
1570.0,1.6240
1560.0,1.6299
1550.0,1.6383
1540.0,1.6539
1530.0,1.6785
1520.0,1.6975
1510.0,1.6968
1500.0,1.6873
1490.0,1.6732
1480.0,1.6533
1470.0,1.6307
1460.0,1.6297
1450.0,1.6364
1440.0,1.6466
1430.0,1.6619
1420.0,1.6720
1410.0,1.6731
1400.0,1.6705
1390.0,1.6701
1380.0,1.6593
1370.0,1.6264
1360.0,1.5937
1350.0,1.5746
1340.0,1.5652
1330.0,1.5605
1320.0,1.5570
1310.0,1.5558
1300.0,1.5545
1290.0,1.5553
1280.0,1.5594
1270.0,1.5598
1260.0,1.5585
1250.0,1.5587
1240.0,1.5623
1230.0,1.5697
1220.0,1.5818
1210.0,1.6040
1200.0,1.6314
1190.0,1.6419
1180.0,1.6289
1170.0,1.6063
1160.0,1.5886
1150.0,1.5847
1140.0,1.5764
1130.0,1.5554
1120.0,1.5392
1110.0,1.5299
1100.0,1.5266
1090.0,1.5234
1080.0,1.5203
1070.0,1.5185
1060.0,1.5198
1050.0,1.5226
1040.0,1.5219
1030.0,1.5179
1020.0,1.5174
1010.0,1.5127
1000.0,1.5023
990.0,1.4975
980.0,1.4921
970.0,1.4868
960.0,1.4828
950.0,1.4798
940.0,1.4730
930.0,1.4669
920.0,1.4699
910.0,1.4503
900.0,1.4199
890.0,1.4044
880.0,1.3832
870.0,1.3583
860.0,1.4152
850.0,1.5028
840.0,1.5054
830.0,1.5052
820.0,1.5065
810.0,1.5043
800.0,1.5006
790.0,1.4994
780.0,1.4991
770.0,1.4993
760.0,1.4988
750.0,1.4987
740.0,1.4989
730.0,1.4984
720.0,1.4982
710.0,1.4987
700.0,1.4993
690.0,1.4996
680.0,1.5008
670.0,1.5027
660.0,1.5039
650.0,1.5058
640.0,1.5085
630.0,1.5110
620.0,1.5138
610.0,1.5169
600.0,1.5196
590.0,1.5227
580.0,1.5258
570.0,1.5292
560.0,1.5320
550.0,1.5352
540.0,1.5406
530.0,1.5484
520.0,1.5574
510.0,1.5630
500.0,1.5629
490.0,1.5610
480.0,1.5695
470.0,1.5825
460.0,1.5895
450.0,1.5965
440.0,1.6056
430.0,1.6161
420.0,1.6294
410.0,1.6411
400.0,1.6509
390.0,1.6713
380.0,1.6874
370.0,1.6971
360.0,1.7264
350.0,1.7935
340.0,1.9276
330.0,2.1259
320.0,2.3309
310.0,2.5094
300.0,2.7500
290.0,3.0239
280.0,3.0671
270.0,3.0571
260.0,2.9946
250.0,2.9599
